"SN","V1","V2"
"280","-200000","-840000"
"281","-180000","-880000"
"282","-160000","-920000"
"283","-140000","-960000"
"284","-120000","-1000000"
"285","-120000","-1040000"
"286","-120000","-1080000"
"287","-100000","-1080000"
"288","-100000","-1120000"
"289","-120000","-1120000"
"290","-100000","-1120000"
"291","-120000","-1120000"
"292","-120000","-1120000"
"293","-160000","-1080000"
"294","-180000","-1080000"
"295","-180000","-1040000"
"296","1100000","-1000000"
"297","1100000","-960000"
"298","1080000","-920000"
"299","1060000","-880000"
"300","1040000","-840000"
"301","1000000","-800000"
"302","980000","-720000"
"303","960000","-640000"
"304","920000","-560000"
"305","880000","-480000"
"306","860000","-440000"
"307","820000","-320000"
"308","780000","-280000"
"309","760000","-200000"
"310","700000","-80000"
"311","680000","0"
"312","640000","40000"
"313","600000","120000"
"314","580000","200000"
"315","540000","320000"
"316","520000","400000"
"317","480000","480000"
"318","460000","560000"
"319","420000","600000"
"320","400000","680000"
"321","380000","720000"
"322","360000","800000"
"323","340000","840000"
"324","320000","880000"
"325","320000","960000"
"326","300000","960000"
"327","280000","1000000"
"328","280000","1040000"
"329","260000","1040000"
"330","260000","1080000"
"331","260000","1080000"
"332","260000","1080000"
"333","280000","1080000"
"334","280000","1080000"
"335","320000","1080000"
"336","340000","1040000"
"337","360000","1040000"
"338","-960000","1000000"
"339","-920000","960000"
"340","-920000","920000"
"341","-900000","880000"
"342","-860000","800000"
"343","-840000","760000"
"344","-800000","680000"
"345","-800000","640000"
"346","-760000","600000"
"347","-740000","480000"
"348","-700000","440000"
"349","-640000","320000"
"350","-600000","280000"
"351","-580000","160000"
"352","-540000","120000"
"353","-500000","0"
"354","-480000","-80000"
"355","-440000","-160000"
"356","-400000","-240000"
"357","-360000","-320000"
"358","-340000","-360000"
"359","-300000","-480000"
"360","-280000","-560000"
"361","-240000","-640000"
"362","-220000","-680000"
"363","-200000","-760000"
"364","-180000","-800000"
"365","-160000","-880000"
"366","-140000","-920000"
"367","-120000","-960000"
"368","-120000","-1040000"
"369","-100000","-1040000"
"370","-100000","-1080000"
"371","-80000","-1080000"
"372","-80000","-1120000"
"373","-80000","-1120000"
"374","-80000","-1120000"
"375","-80000","-1120000"
"376","-100000","-1120000"
"377","-120000","-1120000"
"378","-140000","-1080000"
"379","-160000","-1040000"
"380","1000000","-1000000"
"381","1120000","-1000000"
"382","1120000","-960000"
"383","1100000","-920000"
"384","1060000","-840000"
"385","1040000","-800000"
"386","1020000","-760000"
"387","980000","-680000"
"388","960000","-600000"
"389","940000","-560000"
"390","900000","-440000"
"391","860000","-360000"
"392","820000","-280000"
"393","780000","-200000"
"394","740000","-120000"
"395","700000","-40000"
"396","680000","40000"
"397","640000","120000"
"398","600000","200000"
"399","580000","280000"
"400","540000","360000"
"401","520000","440000"
"402","480000","520000"
"403","460000","600000"
"404","440000","640000"
"405","400000","720000"
"406","400000","800000"
"407","360000","840000"
"408","340000","880000"
"409","340000","920000"
"410","320000","960000"
"411","320000","1000000"
"412","300000","1040000"
"413","300000","1040000"
"414","300000","1080000"
"415","300000","1080000"
"416","280000","1080000"
"417","300000","1120000"
"418","300000","1080000"
"419","320000","1080000"
"420","360000","1040000"
"421","360000","1040000"
"422","-640000","1000000"
"423","-900000","960000"
"424","-900000","920000"
"425","-880000","880000"
"426","-860000","840000"
"427","-820000","800000"
"428","-800000","720000"
"429","-780000","680000"
"430","-760000","600000"
"431","-720000","520000"
"432","-680000","440000"
"433","-640000","400000"
"434","-600000","320000"
"435","-580000","240000"
"436","-540000","120000"
"437","-500000","40000"
"438","-460000","-40000"
"439","-420000","-80000"
"440","-380000","-200000"
"441","-360000","-280000"
"442","-320000","-360000"
"443","-300000","-440000"
"444","-260000","-520000"
"445","-240000","-600000"
"446","-220000","-640000"
"447","-180000","-720000"
"448","-160000","-800000"
"449","-140000","-840000"
"450","-120000","-880000"
"451","-120000","-960000"
"452","-100000","-960000"
"453","-80000","-1000000"
"454","-80000","-1040000"
"455","-60000","-1080000"
"456","-60000","-1080000"
"457","-60000","-1120000"
"458","-60000","-1120000"
"459","-80000","-1120000"
"460","-80000","-1120000"
"461","-80000","-1120000"
"462","-120000","-1080000"
"463","-140000","-1040000"
"464","100000","-1040000"
"465","1180000","-1000000"
"466","1140000","-960000"
"467","1120000","-920000"
"468","1100000","-880000"
"469","1080000","-800000"
"470","1040000","-760000"
"471","1020000","-720000"
"472","1000000","-640000"
"473","960000","-560000"
"474","920000","-480000"
"475","880000","-400000"
"476","860000","-320000"
"477","820000","-240000"
"478","780000","-160000"
"479","740000","-80000"
"480","700000","0"
"481","680000","80000"
"482","640000","160000"
"483","600000","240000"
"484","580000","320000"
